,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
258630,100,67,98002,2019-04-01,310800,17400,2240,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
73397,100,66,98002,2019-10-22,339000,14500,1200,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
537664,100,42,98002,2019-10-29,485500,6002,2134,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,1
89188,120,8,98166,2019-05-17,850000,24142,3500,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
587592,140,27,98178,2019-05-28,535000,14208,2170,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
672182,180,144,98108,2019-12-30,187720,6500,2150,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,1
579788,200,15,98032,2019-11-19,465000,15405,2360,Traffic Noise,1,1,0,0,0,None,1,1,0,0,0,3,0,0,0,0,0,6.0,1,1,0
140272,300,104,98168,2019-01-02,223000,13750,1870,Traffic Noise,1,3,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,4.0,0,0,0
836770,300,102,98168,2019-02-27,520000,27035,3030,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,1,1,0
369493,300,86,98168,2019-06-18,350000,9200,1240,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,1,1,1
257670,300,9,98168,2019-12-03,200000,34056,1010,No Nuisances,0,0,0,0,0,None,1,1,1,0,0,0,0,0,0,0,0,4.0,0,0,0
475794,300,80,98168,2019-12-03,267000,31820,900,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,3.0,1,0,0
7740,300,60,98168,2019-12-06,525000,11958,3040,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,4.0,0,1,0
727506,300,68,98168,2019-12-12,225000,12060,680,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
104542,300,59,98178,2019-12-07,658000,12400,2980,Traffic Noise,1,2,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,7.0,1,0,1
669286,360,90,98144,2019-01-09,545000,1012,930,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,0,0
375088,360,92,98144,2019-04-11,570000,3870,930,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,0,0
482199,520,89,98108,2019-02-11,670000,15453,1510,Traffic Noise,1,2,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,0,1,0
451493,660,55,98032,2019-01-25,290000,5324,1370,Traffic Noise,1,3,0,0,0,None,1,0,1,0,0,0,0,0,0,0,0,4.0,0,0,0
