,Major,Minor,PropType,SqFtLot,SalePrice,DocumentDate,NbrLivingUnits,SqFtTotLiving,Has_Porch,Nuisances,WaterFrontLocation,Is_WaterFrontLocation,Has_Nuisance
0,100,67,R,17400,310800,2019-04-01,1,2240,1,No Nuisances,None,0,0
1,100,66,R,14500,339000,2019-10-22,1,1200,1,No Nuisances,None,0,0
2,100,42,R,6002,485500,2019-10-29,1,2134,1,No Nuisances,None,0,0
3,120,8,R,24142,850000,2019-05-17,1,3500,0,No Nuisances,None,0,0
4,140,27,R,14208,535000,2019-05-28,1,2170,0,Traffic Noise,None,0,1
5,180,144,R,6500,187720,2019-12-30,1,2150,0,No Nuisances,None,0,0
6,200,15,R,15405,465000,2019-11-19,1,2360,1,Traffic Noise,None,0,1
7,300,104,R,13750,223000,2019-01-02,1,1870,1,Traffic Noise,None,0,1
8,300,102,R,27035,520000,2019-02-27,1,3030,0,No Nuisances,None,0,0
9,300,86,R,9200,350000,2019-06-18,1,1240,0,No Nuisances,None,0,0
10,300,9,R,34056,200000,2019-12-03,1,1010,1,No Nuisances,None,0,0
11,300,80,R,31820,267000,2019-12-03,1,900,0,No Nuisances,None,0,0
12,300,60,R,11958,525000,2019-12-06,3,3040,1,No Nuisances,None,0,0
13,300,59,R,12400,658000,2019-12-07,1,2980,0,Traffic Noise,None,0,1
14,300,68,R,12060,225000,2019-12-12,1,680,0,Traffic Noise,None,0,1
15,360,90,R,1012,545000,2019-01-09,1,930,0,No Nuisances,None,0,0
16,360,92,R,3870,570000,2019-04-11,1,930,0,No Nuisances,None,0,0
17,520,89,R,15453,670000,2019-02-11,1,1510,0,Traffic Noise,None,0,1
18,660,55,R,5324,290000,2019-01-25,1,1370,1,Traffic Noise,None,0,1
19,680,52,R,63859,350000,2019-11-21,1,780,1,No Nuisances,None,0,0
20,720,93,R,6000,100000,2019-02-06,1,600,0,No Nuisances,None,0,0
21,720,16,R,11000,415000,2019-05-31,1,920,0,Traffic Noise,None,0,1
22,720,147,R,6000,315250,2019-08-05,1,1160,1,No Nuisances,None,0,0
23,720,17,R,5500,280000,2019-09-13,1,900,0,Traffic Noise,None,0,1
24,720,171,R,6534,524000,2019-10-17,2,1630,0,Other Nuisances,None,0,1
25,760,123,R,1332,659000,2019-02-14,1,1310,1,No Nuisances,None,0,0
26,760,142,R,1037,699950,2019-03-05,1,1350,0,No Nuisances,None,0,0
27,760,88,R,4400,350000,2019-03-18,2,2250,1,No Nuisances,None,0,0
28,760,138,R,1044,660000,2019-03-20,1,1280,0,No Nuisances,None,0,0
29,760,141,R,1012,812000,2019-04-17,1,1630,1,No Nuisances,None,0,0
30,760,152,R,672,3050000,2019-04-24,1,1280,1,No Nuisances,None,0,0
31,760,149,R,499,3050000,2019-04-24,1,1280,1,No Nuisances,None,0,0
32,760,154,R,735,3050000,2019-04-24,1,1280,1,No Nuisances,None,0,0
33,760,151,R,489,3050000,2019-04-24,1,1280,1,No Nuisances,None,0,0
34,760,86,R,6000,857500,2019-05-03,1,1450,1,No Nuisances,None,0,0
35,760,110,R,1406,510000,2019-05-30,1,1020,0,Traffic Noise,None,0,1
36,760,200,R,4000,650000,2019-08-20,1,1710,1,No Nuisances,None,0,0
37,760,43,R,3000,660000,2019-08-27,1,1410,1,No Nuisances,None,0,0
38,760,44,R,2842,725000,2019-11-15,1,1160,1,No Nuisances,None,0,0
39,900,50,R,3811,1420000,2019-07-09,1,3650,1,No Nuisances,None,0,0
40,1000,4,R,6900,813000,2019-04-11,1,1720,0,No Nuisances,None,0,0
41,1000,23,R,5750,520000,2019-06-19,1,1100,0,No Nuisances,None,0,0
42,1120,100,R,3024,861000,2019-05-31,1,1530,1,No Nuisances,None,0,0
43,1150,200,R,8315,1270000,2019-03-21,1,3030,1,No Nuisances,None,0,0
